,OCC_CODE,O_GROUP,OCC_TITLE,TOT_EMP,Mean Annual Salary,Median Annual Salary,Entry level education,Work Experience,Training on Job,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over,Median age,Women,White,Black or African American,Asian,Hispanic or Latino,Employement change in 10 years,Education weight,Experience weight,Training weight,Prestige,popularity
0,11-1000,minor,top executives,2601070,129920,106180,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,7.7,1.0,1.0,1.0,129920.0,90913936814794.42
1,11-1011,detailed,chief executives,202360,197840,185950,Bachelor's degree,5 years or more,None,0.0,0.4194128220491312,8.268424206111444,22.049131216297184,27.86099460754943,27.74116237267825,13.60095865787897,52.0,29.3,88.0,4.3,5.4,7.4,-5.7,3.0,3.0,1.0,1780560.0,-1982555232690.2334
2,11-1021,detailed,general and operations managers,2347420,125740,103650,Bachelor's degree,5 years or more,None,0.2838221381267738,2.3651844843897822,23.651844843897823,27.436140018921478,24.12488174077578,18.448438978240304,3.689687795648061,44.2,30.5,84.4,7.1,4.5,12.4,9.4,3.0,3.0,1.0,1131660.0,72972952571292.33
3,11-1031,detailed,legislators,51290,53560,33200,Bachelor's degree,Less than 5 years,None,0.0,8.0,24.0,4.0,12.0,20.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,3.0,2.0,1.0,321360.0,668092871680.0
4,11-2000,minor,"advertising, marketing, promotions, public relations, and sales managers",763970,148740,134120,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,8.8,1.0,1.0,1.0,148740.0,34938032237187.85
5,11-2011,detailed,advertising and promotions managers,22490,147560,133460,Bachelor's degree,Less than 5 years,None,1.7857142857142858,1.7857142857142858,39.285714285714285,33.92857142857143,19.642857142857142,1.7857142857142858,1.7857142857142858,36.6,52.1,80.5,14.7,3.9,3.5,10.3,3.0,2.0,1.0,885360.0,1464935627999.9998
6,11-2020,broad,marketing and sales managers,660380,150400,136350,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,8.3,1.0,1.0,1.0,150400.0,28802589026939.934
7,11-2021,detailed,marketing managers,270200,154470,142170,Bachelor's degree,5 years or more,None,0.0,6.137184115523466,32.671480144404335,27.075812274368232,19.494584837545126,12.63537906137184,1.8050541516245489,39.7,60.7,84.1,5.5,7.6,9.9,10.0,3.0,3.0,1.0,1390230.0,16197880342960.291
8,11-2022,detailed,sales managers,390170,147580,132290,Bachelor's degree,Less than 5 years,None,0.0,3.838771593090211,19.57773512476008,23.6084452975048,31.28598848368522,17.46641074856046,3.838771593090211,45.5,30.9,87.6,5.8,4.2,7.6,7.0,3.0,2.0,1.0,885480.0,9438468419270.635
9,11-2030,detailed,public relations and fundraising managers,81110,135580,118430,Bachelor's degree,5 years or more,None,0.0,4.2105263157894735,22.105263157894736,30.526315789473685,21.05263157894737,17.894736842105264,4.2105263157894735,43.0,66.4,91.0,4.3,2.3,7.6,12.6,3.0,3.0,1.0,1220220.0,3646338470526.3154
